URL,Performance,Accessibility,Best_Practices,SEO
https://www.google.com/,0.92,0.64,0.67,0.58
https://www.wikipedia.org/,0.94,0.64,0.75,0.58
https://www.m.youtube.com/,0.95,0.52,0.75,0.58
https://www.yahoo.com/?guccounter=1,0.96,0.52,0.75,0.58
