URL,Performance,Accessibility,Best_Practices,SEO
https://en.m.wikipedia.org/wiki/Main_Page,0.91,0.89,0.83,0.93
https://m.youtube.com/,0.52,0.82,0.83,0.91
https://www.amazon.com/,0.65,0.93,0.92,0.93
https://m.facebook.com/,0.82,0.83,0.83,0.82
